objectid,title,date,date-is-approximate,creator,description,item_information,subject,location,latitude,longitude,related_publication,publisher_digital,,source,findingaid,,original-identifier,rights,rights statement,type,format,language,BookCode,BookNum,BPageNum,TotalPages,GRANTEES,GRANTORS,DATE,relation,filename,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
1781000001,", granted to TOWN OF LEXINGTON, ",1781-03-26,,,PLAT OF TOWN BOUNDS OF LEXINGTON,pp. 23-26,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1781000001.pdf,,pdf,objects/1781000001.pdf,,,,
1782000001,"CRAIG, JOSEPH granted to CRAIG, LEWIS; CRAIG, BETTY",1782-12-10,,,500 ACRES FAYETTE COUNTY,pp. 111-113,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1782000001.pdf,,pdf,objects/1782000001.pdf,,,,
1783000001,"WILSON, NATHANIEL; RIDGELY, FREDERICK granted to KENNEDY, THOMAS; KENNEDY, DIANA ",1794-05-31,,,TOWN OF LEXINGTON # 2,pp. 3-5,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1783000001.pdf,,record,,,,,
1783000003,"MASTERSON, JAMES  granted to TRUSTEES TOWN OF LEXINGTON, ; TOWN OF LEXINGTON TRUSTEES, ; TOWN OF LEXINGTON, ; PATTERSON, ROBERT; MITCHELL, WILLIAM; STEELE, ANDREW; HENDERSON, WILLIAM; MCCONNELL, WILLIAM; STEELE, WILLIAM; TODD, ROBERT",1783-08-13,,,4 POLES MAIN STREET; 13 POLES MAIN STREET; 11 2/3 POLES HIGH ST; 51 POLES HIGH STREET,pp. 4-5,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1783000003.pdf,,record,,,,,
1783000004,"MASTERSON, JAMES  granted to TRUSTEES TOWN OF LEXINGTON, ; PATTERSON, ROBERT; MITCHELL, WILLIAM; STEELE, ANDREW; HENDERSON, WILLIAM; MCCONNELL, WILLIAM; STEELE, WILLIAM; TODD, ROBERT; TOWN OF LEXINGTON TRUSTEES, ; TOWN OF LEXINGTON, ",1783-09-09,,,LETTER O HIGH ST; 11 2/3 POLES HIGH ST; 51 POLES HIGH ST,pp. 7-8,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1783000004.pdf,,record,,,,,
1784000001,"LEWIS, THOMAS; PAYNE, HENRY granted to SHELBY JR, EVAN; SHELBY, CATEY; SHELBY, MOSES",1785-02-08,,,TRACT OF LAND ELKHORN CREEK,pp. 73-78,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1784000001.pdf,,record,,,,,
1785000001,"SMITH, ELIJAH granted to TODD, LEVI",1785-04-13,,,25 1/4 ACRES WATERS OF MIDDLE FORK ELKHORN CREEK,pp. 105-107,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1785000001.pdf,,record,,,,,
1785000002,"CRAIG, JOSEPH granted to CRAIG, ELIJAH",1785-07-12,,,200 ACRES WATERS OF ELKHORN,pp. 198-199,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1785000002.pdf,,record,,,,,
1785000003,"GALEWOOD, ANDERSON; GATEWOOD, ANDERSON granted to CAMPBELL, JOHN",1785-04-13,,,400 ACRES S. FORK OF ELKHORN WOLF RUN,pp. 201-203,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1785000003.pdf,,record,,,,,
1786000002,"ALLIN, JOSEPH; ALLEN, JOSEPH granted to CRAIG, LEWIS; CRAIG, ELIZABETH",1786-07-11,,,370 ACRES WATERS OF BOONE CREEK,pp. 148-150,,,,,,Fayette County Clerks Office,,https://www.fayettedeeds.com/landrecords/index.php,"Book Code: ODB, Book Number: 00000A",,,,,Document,application/pdf,eng,ODB,00000A,23,3,"TOWN OF LEXINGTON, ",",",17810326,,1786000002.pdf,,record,,,,,
